CALLDATE,LOGINTIME,DAYSWORKED,TOTALTALKTIME,INCOMINGCALLS,OUTGOINGEXTERNAL,HOLDTIME,WRAPTIME,TOTALHANDLETIME,AHTHANDLETIME,OUTBOUNDOFFERED,PERSONAL,READY,SMSCFLOORSUPPORT,LUNCH30,LUNCH60,INCOMINGCHAT,AGENT
8/16/2021,543,1,21127,71,2,853,414,22394,21830,9,0,45,0,0,1,,Agent 15
4/5/2021,378,1,14616,40,2,2057,537,17210,16641,34,0,3,0,0,0,,Agent 41
7/23/2021,544,1,18971,73,2,1394,506,20871,20700,8,4,88,0,0,1,,Agent 15
6/7/2021,548,1,16125,72,0,1304,1278,18707,18707,17,0,136,0,1,0,,Agent 28
5/6/2021,525,1,3532,10,11,202,1525,5259,3966,65,9,37,278,1,0,,Agent 19
6/10/2021,512,1,11834,68,2,1302,184,13320,13128,10,4,200,0,1,0,,Agent 9
11/24/2021,511,1,13838,30,8,1263,300,15401,12264,62,3,199,0,1,0,,Agent 5
1/5/2021,544,1,23159,33,0,2390,4325,29874,14220,1,0,0,0,0,0,,Agent 39
3/27/2021,207,1,6060,29,1,451,248,6759,6490,6,0,76,0,0,0,,Agent 35
8/31/2021,544,1,8742,23,11,889,767,10398,8882,30,1,50,0,1,0,,Agent 14
5/25/2021,546,1,12581,66,2,313,1378,14272,14017,3,15,175,0,0,1,,Agent 46
9/3/2021,537,1,1185,0,11,333,242,1760,575,45,8,0,0,1,0,,Agent 35
8/25/2021,166,1,628,4,0,0,135,763,763,0,0,61,0,0,0,,Agent 7
10/13/2021,534,1,18802,41,16,976,623,20401,18277,38,3,92,0,1,0,,Agent 5
1/28/2021,454,1,6239,26,0,747,422,7408,7408,1,0,36,0,0,0,,Agent 44
3/23/2021,542,1,20337,84,6,3714,845,24896,23341,4,0,35,0,0,0,,Agent 9
3/23/2021,546,1,1504,2,11,65,2230,3799,2585,235,0,17,0,0,0,,Agent 19
3/12/2021,548,1,16302,73,5,1527,421,18250,17463,40,0,86,0,0,0,,Agent 29
8/13/2021,529,1,299,0,1,0,406,705,406,10,2,0,0,1,0,,Agent 19
7/24/2021,215,1,7355,18,1,717,233,8305,8251,3,15,42,0,0,0,,Agent 36
9/21/2021,542,1,17154,65,0,1109,1167,19430,19430,26,10,96,0,1,0,,Agent 28
2/2/2021,536,1,12952,33,3,2449,1346,16747,15755,10,0,30,0,0,0,,Agent 36
2/5/2021,436,1,7622,27,10,365,4464,12451,11226,53,0,32,0,0,0,,Agent 19
1/20/2021,534,1,11004,33,5,1438,720,13162,12312,40,0,44,0,0,0,,Agent 36
3/30/2021,543,1,17256,52,11,93,688,18037,16840,31,0,98,0,0,0,,Agent 5
5/10/2021,525,1,21220,73,0,2038,1032,24290,24290,23,0,20,0,1,0,,Agent 28
8/31/2021,516,1,15703,70,1,619,354,16676,16503,8,12,148,0,1,0,,Agent 9
2/13/2021,214,1,8857,35,0,839,507,10203,10203,2,0,32,0,0,0,,Agent 15
8/17/2021,541,1,8806,46,1,243,1152,10201,10002,9,1,99,121,1,0,,Agent 19
6/16/2021,511,1,8394,58,1,924,201,9519,9503,8,19,203,0,1,0,,Agent 3
8/27/2021,538,1,15154,45,6,1536,206,16896,15189,27,14,147,0,0,1,,Agent 29
3/2/2021,379,1,15222,33,2,3206,575,19003,18275,10,0,9,0,0,0,,Agent 5
6/4/2021,542,1,15820,54,0,981,487,17288,17288,9,0,151,0,0,1,,Agent 28
9/17/2021,540,1,8327,45,1,80,675,9082,9052,8,4,140,15,1,0,,Agent 19
11/2/2021,551,1,14502,41,2,2930,636,18068,16325,44,19,45,0,0,1,,Agent 36
1/16/2021,212,1,7953,39,0,227,2201,10381,10381,5,0,27,0,0,0,,Agent 12
4/29/2021,542,1,11852,86,2,331,1025,13208,13156,3,34,172,0,0,1,,Agent 46
4/29/2021,533,1,696,1,3,0,13,709,519,0,18,0,467,1,0,,Agent 30
10/27/2021,30,1,,,,,,,,0,0,0,0,0,0,,Agent 38
11/9/2021,540,1,17969,60,3,576,615,19160,18541,19,5,116,0,0,1,,Agent 15
1/22/2021,548,1,16634,66,0,1036,3754,21424,21424,20,0,79,0,0,0,,Agent 28
2/17/2021,511,1,20019,88,0,1617,2569,24205,24205,10,0,33,0,0,0,,Agent 28
6/10/2021,500,1,7781,37,2,498,564,8843,8491,12,13,124,125,1,0,,Agent 19
8/25/2021,541,1,10374,41,1,1179,424,11977,11778,3,21,168,0,0,1,,Agent 36
4/21/2021,541,1,10416,59,0,1990,363,12769,12769,3,47,130,0,1,0,,Agent 3
11/5/2021,298,1,9569,46,1,455,332,10356,10227,7,17,31,0,0,1,,Agent 9
9/1/2021,538,1,545,0,3,0,29,574,29,8,6,0,0,1,0,,Agent 35
11/19/2021,536,1,16898,71,0,872,440,18210,18210,12,13,147,0,0,1,,Agent 12
6/4/2021,543,1,10796,65,0,1254,217,12267,12267,5,17,191,0,0,1,,Agent 3
4/28/2021,510,1,16500,63,9,1106,606,18212,17827,20,3,103,0,1,0,,Agent 15
5/25/2021,509,1,14099,65,3,73,447,14619,14102,11,6,125,14,1,0,,Agent 30
2/17/2021,540,1,16720,70,7,2405,535,19660,18924,1,0,50,0,0,0,,Agent 3
2/20/2021,210,1,7252,33,1,159,733,8144,7915,6,0,53,0,0,0,,Agent 15
1/7/2021,387,1,3917,35,0,149,262,4328,4328,0,0,0,0,0,0,,Agent 27
9/24/2021,541,1,18492,65,0,1248,597,20337,20337,21,0,93,0,1,0,,Agent 28
12/29/2020,547,1,23732,32,5,3522,2120,29374,13489,26,0,11,0,0,0,,Agent 19
10/15/2021,548,1,17431,58,0,2118,631,20180,20180,33,0,108,0,1,0,,Agent 28
4/26/2021,543,1,11363,57,4,1488,1439,14290,13955,24,10,84,58,0,1,,Agent 19
3/8/2021,542,1,18291,80,0,1700,2899,22890,22890,13,0,49,0,0,0,,Agent 28
